N,beta,lambda,theta,Adoption_Rate
283,0.3843634233526608,0.5684488060888485,0.3910955973658654,0.7279151943462897
193,0.5796799698934244,0.703689098201779,0.4819621612527988,0.9948186528497409
271,0.8137657795417548,0.2809363179722885,0.5431194309040029,0.04059040590405904
102,0.41793335163911727,0.7519907177474309,0.5042812129856987,0.9313725490196079
292,0.45972489849655396,0.39269827271925656,0.3712717453410347,0.5787671232876712
352,0.3382038695524898,0.531404650117979,0.31683892623132165,0.6420454545454546
224,0.6748725861724412,0.42935663631577997,0.5222370446519786,0.9776785714285714
173,0.9830224386998242,0.8664709296419985,0.365051458659749,1.0
226,0.715167494980793,0.9001243675910827,0.5980112239309132,1.0
241,0.3035536698854293,0.2972966839565774,0.3865583042733915,0.08713692946058091
168,0.2210955004328979,0.502740365974646,0.2783106424697015,0.4523809523809524
230,0.9335284942308832,0.6140309813223378,0.37351822272036683,1.0
320,0.327077385860369,0.029077534798583927,0.23654779811324742,0.196875
197,0.5577266597887763,0.4872294600201698,0.5143380909481701,0.9289340101522843
204,0.50611227713518,0.15165385743430462,0.24275924715213365,0.9068627450980392
172,0.12173124965502453,0.957233338475858,0.42117002228686184,0.6395348837209303
316,0.1362049070278756,0.8851406079600752,0.21360016099312124,0.620253164556962
145,0.9662795769388747,0.6422856857657347,0.32640892380125097,1.0
206,0.651359277492648,0.4971823645746074,0.5077726898606039,0.970873786407767
274,0.07901247744747103,0.2584292406461313,0.4796761471088028,0.051094890510948905
365,0.15781351241590752,0.5287933539707484,0.5255081801176716,0.09315068493150686
176,0.8975323693411307,0.8744370379134926,0.40361877121550166,1.0
